codigo_postal;municipio;pais
43;Pobla de Massaluca, La;España
85;Fariza;España
633;Albelda de Iregua;España
1001;Vitoria-Gasteiz;España
1002;Vitoria-Gasteiz;España
1003;Vitoria-Gasteiz;España
1004;Vitoria-Gasteiz;España
1005;Vitoria-Gasteiz;España
1006;Vitoria-Gasteiz;España
1007;Vitoria-Gasteiz;España
1008;Vitoria-Gasteiz;España
1009;Vitoria-Gasteiz;España
1010;Vitoria-Gasteiz;España
1012;Labastida/Bastida;España
1012;Vitoria-Gasteiz;España
1013;Vitoria-Gasteiz;España
1015;Vitoria-Gasteiz;España
1110;Campezo/Kanpezu;España
1117;Campezo/Kanpezu;España
1117;Harana/Valle de Arana;España
1118;Bernedo;España
1118;Lagrán;España
1118;Condado de Treviño;España
1120;Arraia-Maeztu;España
1121;Berantevilla;España
1128;Bernedo;España
1128;Campezo/Kanpezu;España
1128;Arraia-Maeztu;España
1129;Arraia-Maeztu;España
1130;Zuia;España
1138;Zigoitia;España
1139;Zuia;España
1160;Aramaio;España
1165;Aramaio;España
1169;Aramaio;España
1170;Legutio;España
1171;Legutio;España
1191;Vitoria-Gasteiz;España
1191;Iruña Oka/Iruña de Oca;España
1192;Elburgo/Burgelu;España
1192;Vitoria-Gasteiz;España
1193;Alegría-Dulantzi;España
1193;Elburgo/Burgelu;España
1193;Iruraiz-Gauna;España
1193;Vitoria-Gasteiz;España
1194;Bernedo;España
1194;Vitoria-Gasteiz;España
1195;Vitoria-Gasteiz;España
1195;Iruña Oka/Iruña de Oca;España
1196;Zigoitia;España
1196;Vitoria-Gasteiz;España
1200;Agurain/Salvatierra;España
1206;Barrundia;España
1206;Iruraiz-Gauna;España
1207;Iruraiz-Gauna;España
1207;Agurain/Salvatierra;España
1207;San Millán/Donemiliaga;España
1208;Asparrena;España
1208;Barrundia;España
1208;San Millán/Donemiliaga;España
1208;Zalduondo;España
1211;Armiñón;España
1211;Berantevilla;España
1211;Lagrán;España
